"Ano","Regiao","Sub_Regiao","Pais","Mes","GeoCodUnidMaior","UnidMaior","GeoCodUnidMenor","UnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
2002,"América Latina","México","Mexico",6,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",11,"0","NULL","NULL","P","2003-04-28 00:00:00.000","11",NA
2002,"América Latina","México","Mexico",7,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",11,"0","NULL","NULL","P","2003-03-18 00:00:00.000","11",NA
2002,"América Latina","México","Mexico",8,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",9,"0","NULL","NULL","P","2003-03-18 00:00:00.000","9",NA
2002,"América Latina","México","Mexico",9,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",5,"0","NULL","NULL","P","2003-03-18 00:00:00.000","5",NA
2002,"América Latina","México","Mexico",10,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",14,"0","NULL","NULL","P","2003-03-18 00:00:00.000","14",NA
2002,"América Latina","México","Mexico",11,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",4,"0","NULL","NULL","P","2003-03-18 00:00:00.000","4",NA
2002,"América Latina","México","Mexico",12,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",4,"0","NULL","NULL","P","2003-03-18 00:00:00.000","4",NA
2003,"América Latina","México","Mexico",1,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-TLX","Tlaxcala","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-CDZ","Coahuila de Zaragoza","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-CDZ","Coahuila de Zaragoza","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-01-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",1,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",2,"NULL","NULL","NULL","P","2003-02-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",2,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",2,"NULL","NULL","NULL","P","2003-02-10 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",2,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-02-17 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",2,"MEX-OAX","Oaxaca","...","Sin Informacion","Perros","Perros",2,"NULL","NULL","NULL","P","2003-02-24 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",2,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-03-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",2,"MEX-TML","Tamaulipas","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-03-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",3,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-03-10 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",3,"MEX-YCT","Yucatan","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-03-10 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",3,"MEX-DTD","Distrito Federal","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",3,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",3,"MEX-TML","Tamaulipas","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",4,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-07 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",4,"MEX-TML","Tamaulipas","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-07 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",4,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-25 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",4,"MEX-CDZ","Coahuila de Zaragoza","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-04-30 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",5,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-05-21 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",5,"MEX-GRR","Guerrero","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-02 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",5,"MEX-YCT","Yucatan","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-02 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-16 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-GRR","Guerrero","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-16 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",2,"NULL","NULL","NULL","P","2003-06-16 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-VLL","Veracruz de Ignacio de la Llave","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-16 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-CHH","Chihuahua","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-23 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-06-23 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",6,"MEX-DTD","Distrito Federal","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-07-01 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",7,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-07-08 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",7,"MEX-CHH","Chihuahua","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-07-14 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",7,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",2,"NULL","NULL","NULL","P","2003-07-14 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",7,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-07-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",7,"MEX-YCT","Yucatan","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-08-05 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",8,"MEX-VLL","Veracruz de Ignacio de la Llave","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-08-28 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",8,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-02 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",9,"MEX-TLX","Tlaxcala","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-08 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",9,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-17 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",9,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",3,"NULL","NULL","NULL","P","2003-09-22 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",9,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-22 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",9,"MEX-VLL","Veracruz de Ignacio de la Llave","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-09-29 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",10,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-10-17 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",10,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-11-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",10,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-11-04 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",11,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-11-10 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",11,"MEX-YCT","Yucatan","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-11-17 00:00:00.000","NULL",NA
2003,"América Latina","México","Mexico",12,"MEX-ZCT","Zacatecas","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2003-12-10 00:00:00.000","NULL",NA
2004,"América Latina","México","Mexico",1,"MEX-SIN","Sinaloa","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2004-01-20 00:00:00.000","NULL",NA
2004,"América Latina","México","Mexico",2,"MEX-TLX","Tlaxcala","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-05-20 11:53:38.170","1",NA
